INFO 2026-01-29 11:14:29,641 autoreload Watching for file changes with StatReloader
WARNING 2026-01-29 11:18:07,612 log Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-01-29 11:18:07,615 log "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 4397
INFO 2026-01-29 11:18:07,615 log "GET /static/hackathon/css/style.css HTTP/1.1" 200 1381
INFO 2026-01-29 11:18:07,616 log "GET /static/hackathon/js/app.js HTTP/1.1" 200 5779
INFO 2026-01-29 11:18:07,616 log "GET /static/hackathon/css/animations.css HTTP/1.1" 200 6927
INFO 2026-01-29 11:18:07,617 log "GET /static/hackathon/js/animations.js HTTP/1.1" 200 2232
INFO 2026-01-29 11:18:10,887 log "GET / HTTP/1.1" 200 13738
INFO 2026-01-29 11:18:10,921 log "GET /static/hackathon/css/style.css HTTP/1.1" 200 1381
INFO 2026-01-29 11:18:10,921 log "GET /static/hackathon/css/animations.css HTTP/1.1" 200 6927
INFO 2026-01-29 11:18:10,923 log "GET /static/hackathon/js/app.js HTTP/1.1" 200 5779
WARNING 2026-01-29 11:18:10,926 log Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-01-29 11:18:10,927 log "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 4397
INFO 2026-01-29 11:18:10,940 log "GET /static/hackathon/js/animations.js HTTP/1.1" 200 2232
INFO 2026-01-29 11:18:13,100 log "GET /login/ HTTP/1.1" 200 9232
WARNING 2026-01-29 11:18:13,124 log Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-01-29 11:18:13,125 log "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 4397
INFO 2026-01-29 11:18:13,126 log "GET /static/hackathon/css/style.css HTTP/1.1" 200 1381
INFO 2026-01-29 11:18:13,126 log "GET /static/hackathon/js/animations.js HTTP/1.1" 200 2232
INFO 2026-01-29 11:18:13,126 log "GET /static/hackathon/css/animations.css HTTP/1.1" 200 6927
INFO 2026-01-29 11:18:13,127 log "GET /static/hackathon/js/app.js HTTP/1.1" 200 5779
INFO 2026-01-29 11:18:24,922 log "GET /login/ HTTP/1.1" 200 9232
WARNING 2026-01-29 11:18:24,954 log Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-01-29 11:18:24,957 log "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 4397
INFO 2026-01-29 11:18:24,957 log "GET /static/hackathon/css/style.css HTTP/1.1" 200 1381
INFO 2026-01-29 11:18:24,958 log "GET /static/hackathon/js/app.js HTTP/1.1" 200 5779
INFO 2026-01-29 11:18:24,958 log "GET /static/hackathon/css/animations.css HTTP/1.1" 200 6927
INFO 2026-01-29 11:18:24,958 log "GET /static/hackathon/js/animations.js HTTP/1.1" 200 2232
INFO 2026-01-29 11:18:26,360 log "GET /login/ HTTP/1.1" 200 9509
WARNING 2026-01-29 11:18:26,382 log Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-01-29 11:18:26,383 log "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 4397
INFO 2026-01-29 11:18:26,386 log "GET /static/hackathon/css/animations.css HTTP/1.1" 200 6927
INFO 2026-01-29 11:18:26,387 log "GET /static/hackathon/css/style.css HTTP/1.1" 200 1381
INFO 2026-01-29 11:18:26,387 log "GET /static/hackathon/js/animations.js HTTP/1.1" 200 2232
INFO 2026-01-29 11:18:26,387 log "GET /static/hackathon/js/app.js HTTP/1.1" 200 5779
INFO 2026-01-29 11:18:30,053 log "GET /register/ HTTP/1.1" 200 9449
WARNING 2026-01-29 11:18:30,092 log Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-01-29 11:18:30,094 log "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 4397
INFO 2026-01-29 11:18:30,095 log "GET /static/hackathon/css/style.css HTTP/1.1" 200 1381
INFO 2026-01-29 11:18:30,095 log "GET /static/hackathon/js/animations.js HTTP/1.1" 200 2232
INFO 2026-01-29 11:18:30,095 log "GET /static/hackathon/js/app.js HTTP/1.1" 200 5779
INFO 2026-01-29 11:18:30,095 log "GET /static/hackathon/css/animations.css HTTP/1.1" 200 6927
WARNING 2026-01-29 11:18:39,634 log Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-01-29 11:18:39,634 log "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 4397
WARNING 2026-01-29 11:18:39,649 log Not Found: /.well-known/appspecific/com.chrome.devtools.json
